Epoch,Accuracy,Loss,Validation Accuracy,Validation Loss
1,0.5677000284194946,1.2854773998260498,0.9415000081062317,0.22434240579605103
2,0.7541333436965942,0.766145646572113,0.9546999931335449,0.15753048658370972
3,0.7930999994277954,0.6436160206794739,0.9556999802589417,0.14513994753360748
4,0.8155166506767273,0.5799830555915833,0.9581000208854675,0.1303064376115799
5,0.830216646194458,0.5336108803749084,0.9686999917030334,0.10050782561302185
6,0.8401833176612854,0.5012733340263367,0.9660999774932861,0.11374162882566452
7,0.8468833565711975,0.47756877541542053,0.9706000089645386,0.0989919900894165
8,0.8495333194732666,0.467520534992218,0.9657999873161316,0.10890897363424301
9,0.8566833138465881,0.44722020626068115,0.9746000170707703,0.07811633497476578
10,0.8631333112716675,0.4303682744503021,0.9735000133514404,0.08361504226922989
11,0.8648999929428101,0.41679471731185913,0.9749000072479248,0.07723641395568848
12,0.8672333359718323,0.4131867587566376,0.9690999984741211,0.0946439579129219
13,0.8716999888420105,0.3967466652393341,0.9747999906539917,0.07882499694824219
14,0.876550018787384,0.3869660198688507,0.9761999845504761,0.07572875916957855
15,0.8759333491325378,0.3865755796432495,0.9731000065803528,0.08036159723997116
16,0.8780500292778015,0.37874576449394226,0.9765999913215637,0.07314185798168182
17,0.8790000081062317,0.37536877393722534,0.9710999727249146,0.09207446128129959
18,0.8826333284378052,0.366969496011734,0.977400004863739,0.07298580557107925
19,0.8846333622932434,0.3595568537712097,0.9767000079154968,0.07143496721982956
20,0.8864666819572449,0.35858774185180664,0.9760000109672546,0.07485605776309967
21,0.8863499760627747,0.3537129759788513,0.9721999764442444,0.08836495131254196
22,0.8865000009536743,0.35160404443740845,0.9768999814987183,0.07716166228055954
23,0.8884166479110718,0.3478575050830841,0.9750000238418579,0.0730053186416626
24,0.8912500143051147,0.339373916387558,0.975600004196167,0.07620231807231903
25,0.8890666961669922,0.3437747359275818,0.9751999974250793,0.08045396208763123
26,0.8931000232696533,0.3325514793395996,0.9796000123023987,0.06734761595726013
27,0.8938999772071838,0.3310128152370453,0.9746000170707703,0.07685738056898117
28,0.8957333564758301,0.3275871276855469,0.9765999913215637,0.07389415055513382
29,0.8932833075523376,0.3335813879966736,0.9767000079154968,0.0752786174416542
30,0.8950833082199097,0.32728883624076843,0.9771000146865845,0.0747433751821518
31,0.8964333534240723,0.3239041566848755,0.9742000102996826,0.08231782913208008
32,0.8956166505813599,0.32522615790367126,0.9789999723434448,0.06550215184688568
33,0.8964833617210388,0.3220973014831543,0.9789999723434448,0.06766194850206375
34,0.9000166654586792,0.3142281174659729,0.9769999980926514,0.07670402526855469
35,0.8966666460037231,0.32121947407722473,0.9771000146865845,0.07206354290246964
36,0.8980333209037781,0.31607282161712646,0.974399983882904,0.08663668483495712
37,0.897183358669281,0.31519585847854614,0.9746999740600586,0.08309347182512283
38,0.8994166851043701,0.3131573796272278,0.9733999967575073,0.08624795824289322
39,0.9002000093460083,0.31251388788223267,0.975600004196167,0.07936015725135803
40,0.901033341884613,0.3108811378479004,0.9787999987602234,0.07076412439346313
41,0.9010999798774719,0.3071735203266144,0.9781000018119812,0.0749325379729271
42,0.9019833207130432,0.3036773204803467,0.9822999835014343,0.05900299549102783
43,0.903249979019165,0.3027416467666626,0.9782000184059143,0.07589836418628693
44,0.9019833207130432,0.305113822221756,0.9768000245094299,0.08027548342943192
45,0.9022499918937683,0.3036966025829315,0.9797999858856201,0.0673552080988884
46,0.9042166471481323,0.29987913370132446,0.9768000245094299,0.07897529006004333
47,0.9042500257492065,0.29949215054512024,0.9767000079154968,0.07585551589727402
48,0.9042333364486694,0.2982371747493744,0.9760000109672546,0.077660471200943
49,0.9041333198547363,0.29875192046165466,0.9771000146865845,0.07565205544233322
50,0.9036666750907898,0.29925745725631714,0.9771000146865845,0.07297872006893158
51,0.9059666395187378,0.2915414273738861,0.9711999893188477,0.09892937541007996
52,0.906499981880188,0.2904715836048126,0.9731000065803528,0.09400235861539841
53,0.9051499962806702,0.2971479594707489,0.9761000275611877,0.0793752670288086
54,0.9052166938781738,0.2956129014492035,0.9805999994277954,0.06302180141210556
55,0.9062833189964294,0.2925374209880829,0.9742000102996826,0.08632803708314896
56,0.9071499705314636,0.2926824688911438,0.9811000227928162,0.06339096277952194
57,0.9078500270843506,0.29069674015045166,0.9775999784469604,0.07523752748966217
58,0.9083666801452637,0.28719085454940796,0.9789000153541565,0.06927786022424698
59,0.9064000248908997,0.2911957800388336,0.9764000177383423,0.08047487586736679
60,0.9062333106994629,0.2912445366382599,0.9799000024795532,0.06751719117164612
